x,y
6.05,6.13
7.79,7.18
7.53,7.25
8.62,8.53
7.68,7.22
5.57,6.21
7.23,7.12
6.57,6.91
6.64,6.25
5.87,5.99
5.47,5.75
7.07,6.51
6.16,6.53
5.03,5
6.68,6.78
9.88,9.71
7.77,7.52
6.92,6.88
5.74,6.23
4.53,4.65
7.98,7.13
6.86,7.11
7.66,7.96
6.14,6.11
4.7,4.54
4.1,4.44
6.33,6.78
5.96,6.11
5.4,5.69
5.12,5.42
6.12,5.46
5.57,5.15
6.58,6.23
5.69,5.71
