x,y
6.0499999999999998,6
7.79,7.7000000000000002
7.5300000000000002,7
8.6199999999999992,8.9000000000000004
7.6799999999999997,7.9000000000000004
5.5700000000000003,6
7.2300000000000004,7.0999999999999996
6.5700000000000003,6.9000000000000004
6.6399999999999997,6.25
5.8700000000000001,6.0999999999999996
5.4699999999999998,6
7.0700000000000003,6.5
6.1600000000000001,6.5
5.0300000000000002,5
6.6799999999999997,6.8999999999999998
8.8800000000000008,8.9600000000000009
7.7699999999999996,7.54
6.9199999999999999,6.2199999999999998
5.7400000000000002,6
4.5300000000000002,4.5999999999999996
7.9800000000000004,7.6900000000000004
6.8600000000000003,7.2399999999999997
7.6600000000000001,7.7999999999999998
6.1399999999999997,6.5
4.7000000000000002,4.5
4.0999999999999996,4.5
6.3300000000000001,6.1200000000000001
5.96,6.7800000000000002
5.4000000000000004,6
5.1200000000000001,5.0199999999999996
6.1200000000000001,5.46
5.5700000000000003,5.4500000000000002
6.5800000000000001,6.2300000000000004
5.6900000000000004,5.5499999999999998
